City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
294,kirakira,-10.4544,161.9205,300.46,84,99,5.0,SB,1699653077
295,kragujevac,44.0167,20.9167,283.31,94,100,3.51,RS,1699653077
296,touros,-5.1989,-35.4608,299.16,74,11,7.02,BR,1699653077
297,peace river,56.2501,-117.286,281.32,53,20,6.17,CA,1699653078
298,porto novo,6.4965,2.6036,299.05,82,100,3.98,BJ,1699653078
299,coquimbo,-29.9533,-71.3436,292.0,72,20,5.66,CL,1699653078
300,saipan,15.1355,145.701,301.54,78,40,5.14,MP,1699653079
301,callaway,30.153,-85.5699,299.25,77,40,2.57,US,1699653079
302,ginebra,46.2022,6.1457,281.2,87,75,6.17,CH,1699653079
303,cidreira,-30.1811,-50.2056,292.97,80,99,10.61,BR,1699653079
304,avarua,-21.2078,-159.775,299.18,89,95,4.63,CK,1699653080
305,fort st. john,56.2499,-120.8529,278.09,52,20,7.72,CA,1699652881
306,taltal,-25.4,-70.4833,293.56,66,22,2.33,CL,1699653080
307,diapaga,12.0708,1.7889,301.96,15,68,2.21,BF,1699653080
308,anadyr,64.75,177.4833,258.43,78,75,5.0,RU,1699653080
309,rawson,-43.3002,-65.1023,300.57,15,91,6.68,AR,1699653081
310,tvoroyri,61.5556,-6.8111,280.93,74,67,7.09,FO,1699653081
311,hermanus,-34.4187,19.2345,290.28,87,84,1.46,ZA,1699653081
312,meizhou,24.2977,116.1072,295.34,94,100,1.03,CN,1699653081
313,sinabang,2.4803,96.3801,298.96,84,100,0.6,ID,1699653081
314,kozhevnikovo,56.2589,83.9714,273.85,99,100,2.17,RU,1699653082
315,namibe,-15.1961,12.1522,293.51,77,59,1.98,AO,1699653082
316,amparafaravola,-17.5833,48.2167,295.23,75,96,1.71,MG,1699653082
317,lensk,60.7253,114.9278,264.23,81,99,5.6,RU,1699653082
318,vilhena,-12.7406,-60.1458,300.27,78,75,0.51,BR,1699653083
319,northam,51.0333,-4.2167,283.37,87,31,7.25,GB,1699653083
320,tshabong,-26.05,22.45,301.77,20,81,5.34,BW,1699653083
321,kerema,-7.9631,145.7785,298.6,82,99,2.1,PG,1699653084
322,tottori,35.5,134.2333,286.19,82,75,12.86,JP,1699653084
323,childress,34.4264,-100.204,289.29,13,75,4.12,US,1699653084
324,agadez,19.75,10.25,298.56,15,90,3.58,NE,1699653085
325,phongsali,21.6833,102.1058,286.28,91,21,0.42,LA,1699653085
326,waterloo,43.4668,-80.5164,280.25,65,40,7.2,CA,1699653085
327,malindi,-3.2175,40.1191,299.24,89,40,0.0,KE,1699653085
328,st. john's,47.5649,-52.7093,276.57,90,75,10.29,CA,1699653085
329,newman,37.3138,-121.0208,294.39,37,2,2.24,US,1699653085
330,arraial do cabo,-22.9661,-42.0278,297.13,88,20,4.12,BR,1699653086
331,dabeiba,7.0017,-76.2672,298.92,97,100,0.82,CO,1699653086
332,nagqu,31.5,92.0,267.82,78,98,1.43,CN,1699653086
333,greymouth,-42.4667,171.2,287.93,62,2,2.12,NZ,1699653086
334,xichang,27.8964,102.2634,282.5,85,1,0.52,CN,1699653086
335,okha,53.5739,142.9478,267.38,81,100,5.36,RU,1699653087
336,shakawe,-18.3667,21.85,301.31,34,83,1.21,BW,1699653087
337,nayoro,44.3506,142.4578,272.07,84,89,6.65,JP,1699653087
338,kirensk,57.7853,108.1119,262.57,70,87,1.79,RU,1699653087
339,nemuro,43.3236,145.575,278.64,76,100,4.81,JP,1699653088
340,uthal,25.8072,66.6219,297.58,23,0,2.27,PK,1699653088
341,zag,46.9441,99.165,258.0,76,1,1.53,MN,1699653088
342,klaksvik,62.2266,-6.589,277.66,76,48,7.09,FO,1699653088
343,karyes,37.3,22.5,283.82,96,59,1.89,GR,1699653089
344,porbandar,21.6422,69.6093,300.4,61,48,3.8,IN,1699653089
345,dhuusamarreeb,5.535,46.3861,296.44,92,100,4.83,SO,1699653089
346,lloydminster,53.2835,-110.0016,275.27,75,20,7.2,CA,1699652827
347,ntoum,0.3833,9.7833,297.05,95,100,0.76,GA,1699653090
348,severo-yeniseyskiy,60.3725,93.0408,259.03,94,27,1.79,RU,1699653090
349,campbellton,48.0075,-66.6727,274.4,96,97,1.03,CA,1699653090
350,chilliwack,49.1747,-121.9443,284.44,89,100,1.34,CA,1699653090
351,chonchi,-42.6128,-73.8092,284.33,71,100,5.29,CL,1699652861
352,onguday,50.75,86.15,270.52,96,100,0.86,RU,1699653091
353,al bawiti,28.3492,28.8659,293.97,53,100,3.9,EG,1699653091
354,batroun,34.2553,35.6581,292.34,83,62,3.02,LB,1699653091
355,marsabit,2.3284,37.9899,293.67,69,97,3.02,KE,1699653092
356,tame,6.461,-71.73,299.39,84,82,1.54,CO,1699653092
357,acarau,-2.8856,-40.12,299.67,76,3,8.89,BR,1699653092
358,miquelon,47.0975,-56.3814,277.15,70,99,11.71,PM,1699653092
